evidence_code	evidence_name	evidence_group	confidence_level	object_type	evidence_category
EXP-IGI-FUNC-COMPLEMENTATION	Inferred by functional complementation		STRONG	Transcription Factors	Classical experiment 
EXP-IDA-UNPURIFIED-PROTEIN-NH	Assay of unpurified protein expressed in its native host		WEAK	Transcription Factors	Classical experiment 
EXP-CHIP-EXO-MANUAL	ChIP-exo evidence used in manual assertion	4	WEAK	Regulatory Interactions	High-throughput binding 
EXP-IEP-GENE-EXPRESSION-ANALYSIS	Gene expression analysis	8	WEAK	Regulatory Interactions;Transcription Factors	Classical expression 
EXP-HTP-HEP-MICROARRAY	High-throughput expression microarray evidence	8	WEAK	Transcription Units;Regulatory Interactions	High-throughput expression 
EXP-IMP-REACTION-BLOCKED	Reaction blocked in mutant		WEAK	Regulatory Interactions	Classical binding 
EXP-HTP-HEP-RNA-SEQ	High-throughput RNA-seq evidence	8	WEAK	Promoter;Transcription Units;Regulatory Interactions	High-throughput expression 
EXP-IEP-COREGULATION	Inferred through co-regulation		WEAK	Transcription Units	Classical experiment 
EXP-IMP-SITE-MUTATION	Site mutation	1	STRONG	Promoter;Regulatory Interactions;Transcription Factors	Classical binding 
EXP-IMP-POLAR-MUTATION	Polar mutation	12	STRONG	Transcription Units	Classical experiment 
COMP-HINF-ORTHOLOGY-EXP	Human inference of function based on ortholog with experimental function in closely related strain or species.		WEAK	Transcription Factors	non-experimental 
IC-ADJ-GENES-SAME-BIO-PROCESS	Products of adjacent genes in the same biological process		WEAK	Transcription Units	non-experimental 
EXP-IDA-PURIFIED-PROTEIN-HH	Assay of protein purified to homogeneity from a heterologous host		STRONG	Transcription Factors	Classical experiment 
IDA-PURIFIED-PROTEIN-NH	Assay of protein purified to homogeneity from its native host		STRONG	Transcription Factors	Classical experiment 
COMP-AINF-SIMILAR-TO-CONSENSUS	Automated inference based on similarity to consensus sequences	7	WEAK	Regulatory Interactions	non-experimental 
COMP-AINF-FN-FROM-SEQ	Automated inference of function from sequence		WEAK	Transcription Factors	non-experimental 
COMP-AINF-SINGLE-DIRECTON	Automated inference that a single-gene directon is a transcription unit 	13	WEAK	Transcription Units	non-experimental 
COMP-AINF-PATTERN-DISCOVERY	Automated inference based on sequence pattern discovery	7	WEAK	Promoter;Regulatory Interactions	non-experimental 
