tuId	tuName	operonName	tuGenes	pmName	tuEvidence	addEvidence	confidenceLevel	pmids
RDBECOLITUC00080	yjtD	yjtD	yjtD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00081	yaaX	yaaX	yaaX;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00082	yaaA	yaaA	yaaA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00083	yaaJ	yaaJ	yaaJ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00084	mog	mog	mog;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00085	satP	satP	satP;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00086	yaaW	yaaW	yaaW;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00087	insL1	insL1	insL1;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00088	mokC-hokC	mokC-hokC	mokC;hokC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00089	sokC	sokC	sokC;	sokCp	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		STRONG	
RDBECOLITUC00090	insA1B1AB1	insA1B1AB1	insA1;insB1;insAB1;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00091	rihC	rihC	rihC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00092	yaaU	yaaU	yaaU;	yaaUp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00093	kefFC	kefFC	kefC;kefF;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00094	djlA	djlA	djlA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00095	yabPQ	yabPQ	yabQ;yabP;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00096	yabI	yabI	yabI;	yabIp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00097	sgrR-sroA-thiBPQ	sgrR-sroA-thiBPQ	sgrR;sroA;thiB;thiP;thiQ;	sgrRp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00098	sgrST-setA	sgrST-setA	sgrT;setA;sgrS;	sgrSp	[COMP-AINF-SINGLE-DIRECTON:W][EXP-IEP-COREGULATION:W][COMP-AINF:W]		WEAK	
RDBECOLITUC00099	leuO	leuO	leuO;	leuOp	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]		STRONG	
RDBECOLITUC00100	cra	cra	cra;	fruRp8	[COMP-AINF:W]		WEAK	
RDBECOLITUC00101	lpxC	mraZW-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	lpxC;	lpxCp1	[COMP-AINF:W]		WEAK	
RDBECOLITUC00102	coaE-zapD-yacG	coaE-zapD-yacG	coaE;zapD;yacG;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00103	ppdD-hofBC	ppdD-hofBC	ppdD;hofB;hofC;	ppdDp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00104	nadC	nadC	nadC;	nadCp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00105	yacL	yacL	yacL;	yacLp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00106	yadGH	yadGH	yadH;yadG;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00107	yadI	yadI	yadI;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00108	yadE	yadE	yadE;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00109	yadC	yadMLKC	yadC;	yadCp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00110	hrpB	hrpB	hrpB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00111	uof-fur	fldA-uof-fur	uof;fur;	uofp	[EXP-IDA-BOUNDARIES-DEFINED:W]		WEAK	
RDBECOLITUC00112	mrcB	mrcB	mrcB;	mrcBp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00113	clcA	clcA	clcA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00114	mnt-btuF-yadS	mnt-btuF-yadS	mtn;btuF;yadS;	mtnp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00115	dgt	dgt	dgt;	dgtp1	[COMP-AINF:W]		WEAK	
RDBECOLITUC00116	yaeH	yaeH	yaeH;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00117	yaeI	yaeI	yaeI;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00118	map-glnD-dapD	map-glnD-dapD	map;glnD;dapD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00119	fldA-uof-fur	fldA-uof-fur	uof;fur;fldA;	fldAp	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]		STRONG	
RDBECOLITUC00120	dxr-uppS-cdsA	dxr-uppS-cdsA	cdsA;ispU;dxr;		[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]		STRONG	
RDBECOLITUC00121	yaeR	yaeR	yaeR;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00122	tilS	tilS	tilS;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00123	yaeP-rof	yaeP-rof	yaeP;rof;	yaePp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00124	yaeQ-arfB-nlpE	yaeQ-arfB-nlpE	nlpE;arfB;yaeQ;	yaeQp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00125	yaeF	yaeF	yaeF;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00126	rcsF-trmO	rcsF-trmO	rcsF;trmO;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00127	gmhB	gmhB	gmhB;	gmhBp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00128	dkgB	dkgB	dkgB;	dkgBp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00129	fur	fldA-uof-fur	fur;	furpb	[EXP-IDA-BOUNDARIES-DEFINED:W]		WEAK	
RDBECOLITUC00130	yafDE	yafDE	yafE;yafD;	yafDp	[EXP-IEP-COREGULATION:W][COMP-AINF:W]		WEAK	
RDBECOLITUC00131	mltD	mltD	mltD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00132	gloB	gloB	gloB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00133	dnaQ	dnaQ	dnaQ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00134	yafT	yafT	yafT;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00135	gmhA	gmhA	gmhA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00136	yafJ	yafJ	yafJ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00137	ldtF	ldtF	dpaA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00138	dinJ-yafQ	dinJ-yafQ	dinJ;yafQ;	dinJp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00139	yafL	yafL	yafL;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00140	rayT	rayT	rayT;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00141	lafU	lafU	lafU;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00142	dinB-yafNOP	dinB-yafNOP	yafP;yafO;yafN;dinB;	dinBp	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][EXP-IMP-POLAR-MUTATION:S]	[AE(EXP-IDA-TRANSCRIPT-LEN-DETERMINATION/EXP-IMP-POLAR-MUTATION):C]	CONFIRMED	
RDBECOLITUC00143	yafNOP	dinB-yafNOP	yafP;yafO;yafN;	yafNp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00144	ykfJ-prfH	ykfJ-prfH	prfH;ykfJ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00145	frsA	frsA	frsA;	frsAp	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		STRONG	
RDBECOLITUC00146	yafY-ykfBF-yafX-ykfGH-yafW-ykfI	yafY-ykfBF-yafX-ykfGH-yafW-ykfI	yafY;ykfB;ykfF;yafX;ykfG;ykfH;yafW;ykfI;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00147	ykfA-yafZ	ykfA-yafZ	ykfA;yafZ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00148	perR	perR	perR;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00149		insNI1	insI1;insN;	insN-1p	[COMP-AINF:W]		WEAK	
RDBECOLITUC00150	ykfC	ykfC	ykfC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00151	mmuPM	mmuPM	mmuM;mmuP;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00152	insA2B2AB2-afuBC	insA2B2AB2-afuBC	insA2;insB2;insAB2;afuB;afuC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00153	yagAB-insX	yagAB-insX	yagA;yagB;insX;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00154	yagEF	yagEF	yagF;yagE;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00155	yagGH	yagGH	yagH;yagG;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00156	xynR	argF-xynR	xynR;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00157	insA3B3AB3	insA3B3AB3	insA3;insB3;insAB3;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00158	yagK	yagK	yagK;	yagKp6	[COMP-AINF:W]		WEAK	
RDBECOLITUC00159	yagML	yagML	yagM;yagL;		[EXP-IEP-COREGULATION:W][COMP-AINF:W]		WEAK	
RDBECOLITUC00160	yagN	yagN	yagN;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00161	intF	intF	intF;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00162	yagP	yagP	yagP;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00163	paoABCD	paoABCD	paoA;paoB;paoC;paoD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00164	ykgJ	ykgJ	ykgJ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00165	ecpBCDE	ecpBCDE	ecpB;ecpC;ecpD;ecpE;	ecpBp1	[COMP-AINF:W]		WEAK	
